Year	CO2_emissions_metric_tons_per_capita
1960	15.9997791565885
1961	15.6812555160569
1962	16.0139374979897
1963	16.4827621458239
1964	16.9681185789701
1965	17.4517252487095
1966	18.1210730107855
1967	18.5983178821611
1968	19.0893891562783
1969	19.85794566231
1970	21.1112522725943
1971	20.9802034758573
1972	21.7486419846019
1973	22.5105821272339
1974	21.5029303777343
1975	20.4022240696754
1976	21.1576153736785
1977	21.5324840060117
1978	21.9730046948357
1979	21.7804369776277
1980	20.7864877412257
1981	19.7667641742132
1982	18.5904952301609
1983	18.5715437097933
1984	18.9767502682074
1985	18.8823127427246
1986	18.7207227161615
1987	19.3503344229412
1988	20.0104134086438
1989	20.0757697786637
1990	19.3227511807806
1991	19.0561631861681
1992	19.1394372782772
1993	19.3470829142925
1994	19.3608920479162
1995	19.2765452647233
1996	19.4960247370023
1997	19.6903631815798
1998	19.5792362010339
1999	19.727169506164
2000	20.1787505069199
2001	19.6365050677187
2002	19.6134040768814
2003	19.5641045293305
2004	19.6583711815214
2005	19.5918852294317
2006	19.0940665201349
2007	19.217897835532
2008	18.4617638680802
2009	17.1577377931966
2010	17.4431109038447
2011	16.9152017650556
2012	16.1934293295892
2013	16.3622241347427
2014	16.4165759129484
2015	15.989866258056
2016	15.502203980958
