Year	1	2	3	4	5	6	7	8	9	10	11	12
1948	-0.017	-0.029	0.026	-0.072	-0.006	0.053	-0.041	-0.024	-0.054	0.006	0.133	0.061
1949	0.152	0.159	0.037	0.097	-0.025	0	0.07	0.101	0.069	0.103	0.106	0.116
1950	0.109	-0.035	-0.107	-0.132	-0.06	-0.044	-0.057	0.019	0.008	-0.092	0.078	0.087
1951	0.101	-0.003	0.011	0.167	0.171	0.288	0.42	0.302	0.248	0.258	0.173	0.173
1952	0.17	0.181	0.229	0.189	0.179	0.381	0.371	0.402	0.36	0.353	0.249	0.339
1953	0.264	0.183	0.14	0.312	0.341	0.274	0.342	0.257	0.278	0.146	0.242	0.256
1954	0.225	0.094	0.099	-0.015	0.068	0.097	-0.047	-0.016	-0.013	-0.034	-0.029	-0.053
1955	0.074	0.038	0.039	0.093	0.174	0.191	0.266	0.173	0.201	0.277	0.384	0.254
1956	0.184	0.092	0.011	0.061	-0.06	-0.266	-0.092	-0.101	-0.091	-0.045	-0.089	0.016
1957	-0.083	-0.109	-0.022	-0.076	-0.123	-0.015	0.037	0.2	0.218	0.147	0.082	0.077
1958	0.046	0.186	0.341	0.344	0.199	0.219	0.162	0.158	0.21	0.149	0.182	0.217
1959	0.097	0.112	-0.03	-0.007	0.004	-0.062	-0.035	0.009	0.122	0.109	0.048	0.107
1960	0.173	0.213	0.085	0.094	0.299	0.316	0.267	0.332	0.208	0.293	0.247	0.134
1961	0.057	0.078	0.145	0.223	0.19	0.029	-0.022	0.032	-0.001	0.026	0.064	0.21
1962	0.145	0.148	0.162	0.084	0.019	-0.075	-0.012	-0.067	0	0.062	0.042	0.186
1963	0.153	0.162	0.13	0.1	-0.089	-0.051	-0.04	-0.078	-0.206	-0.076	-0.061	-0.064
1964	-0.079	0.017	0.035	-0.15	0.036	0	-0.148	-0.238	-0.224	-0.276	-0.17	-0.125
1965	-0.203	-0.181	-0.082	-0.101	-0.103	-0.131	-0.192	-0.215	-0.226	-0.252	-0.281	-0.128
1966	-0.08	0.006	-0.014	0.039	-0.003	-0.05	-0.06	-0.048	-0.005	0.009	-0.002	0.075
1967	0.077	0.083	-0.039	-0.02	-0.192	-0.266	-0.235	-0.17	-0.102	-0.105	-0.239	-0.158
1968	-0.252	-0.203	-0.214	-0.161	-0.129	-0.267	-0.235	-0.219	-0.155	-0.118	-0.113	-0.132
1969	-0.068	0.099	0.202	0.144	0.005	0.023	0.088	-0.106	-0.113	-0.191	-0.129	-0.037
1970	-0.016	-0.054	0.013	0.014	-0.052	-0.188	-0.206	-0.146	-0.143	-0.202	-0.246	-0.215
1971	-0.251	-0.298	-0.316	-0.418	-0.332	-0.368	-0.355	-0.441	-0.372	-0.24	-0.248	-0.314
1972	-0.323	-0.385	-0.444	-0.332	-0.474	-0.493	-0.38	-0.388	-0.308	-0.292	-0.282	-0.356
