Year	Avg_Temp_Anomaly_degree_F
1895	-2.49
1896	-0.83
1897	-1.27
1898	-1.39
1899	-1.82
1900	-0.05
1901	-0.95
1902	-1.24
1903	-2.2
1904	-1.67
1905	-1.83
1906	-1.1
1907	-1.34
1908	-0.75
1909	-1.39
1910	-0.4
1911	-0.8
1912	-2.59
1913	-1.28
1914	-0.98
1915	-1.38
1916	-1.98
1917	-2.76
1918	-0.96
1919	-1.28
1920	-1.75
1921	0.98
1922	-0.8
1923	-1.19
1924	-2.24
1925	-0.31
1926	-0.87
1927	-0.68
1928	-0.91
1929	-1.97
1930	-0.85
1931	0.71
1932	-1.09
1933	0.17
1934	1.28
1935	-0.93
1936	-0.67
1937	-1.27
1938	0.36
1939	0.44
1940	-0.94
1941	-0.17
1942	-0.99
1943	-0.76
1944	-0.99
1945	-1.07
1946	0.12
1947	-0.91
1948	-1.22
1949	-0.8
1950	-1.43
1951	-1.71
1952	-0.55
1953	0.54
1954	0.5
1955	-1.13
1956	-0.48
1957	-0.78
1958	-0.89
1959	-0.72
1960	-1.38
1961	-0.96
1962	-0.92
1963	-0.57
1964	-1.15
1965	-1.14
1966	-1.33
1967	-1.06
1968	-1.5
1969	-1.32
1970	-1.21
1971	-1.17
1972	-1.45
1973	-0.54
1974	-0.56
1975	-1.32
1976	-1.36
1977	-0.27
1978	-1.78
1979	-1.94
1980	-0.44
1981	0.3
1982	-1.48
1983	-0.94
1984	-0.85
1985	-1.52
1986	0.5
1987	0.51
1988	-0.19
1989	-0.99
1990	0.69
1991	0.33
1992	-0.22
1993	-1.56
1994	0.04
1995	-0.17
1996	-0.94
1997	-0.62
1998	1.41
1999	1.05
2000	0.44
2001	0.87
2002	0.38
2003	0.43
2004	0.27
2005	0.81
2006	1.43
2007	0.83
2008	-0.53
2009	-0.43
2010	0.16
2011	0.36
2012	2.46
2013	-0.4
2014	-0.29
2015	1.58
2016	2.09
2017	1.73
2018	0.69
2019	-0.15
